textja,pronunciation,translation,category
すみません、メニューをください。,"sumimasen, menyuu o kudasai","실례합니다, 메뉴 좀 주세요",음식점
これをください。,kore o kudasai,이걸로 주세요,음식점
おすすめは何ですか？,osusume wa nan desu ka,추천 메뉴는 뭐예요?,음식점
おいしいです。,oishii desu,맛있어요,음식점
お会計お願いします。,okaikei onegaishimasu,계산 부탁드립니다,음식점
お水をください。,omizu o kudasai,물 주세요,음식점
もう一つください。,mou hitotsu kudasai,하나 더 주세요,음식점
お持ち帰りできますか？,omochikaeri dekimasu ka,포장되나요?,음식점
辛いですか？,karai desu ka,매워요?,음식점
ごちそうさまでした。,gochisousama deshita,잘 먹었습니다,음식점
コンビニはどこですか？,konbini wa doko desu ka,편의점은 어디인가요?,편의점
レジはどこですか？,reji wa doko desu ka,계산대는 어디인가요?,편의점
袋をお願いします。,fukuro o onegaisimasu,봉투 부탁드립니다,편의점
温めてください。,atatamete kudasai,데워주세요,편의점
トイレはありますか？,toire wa arimasu ka,화장실 있나요?,편의점
ポイントカードを持っています。,pointo kaado o motteimasu,포인트 카드를 갖고 있습니다,편의점
コピーできますか？,kopii dekimasu ka,복사 가능해요?,편의점
ATMはどこですか？,eetiiemu wa doko desu ka,ATM은 어디인가요?,편의점
この商品はありますか？,kono shouhin wa arimasu ka,이 상품 있나요?,편의점
お箸をください。,ohashi o kudasai,젓가락 주세요,편의점
この服はいくらですか？,kono fuku wa ikura desu ka,이 옷은 얼마인가요?,쇼핑
試着できますか？,shichaku dekimasu ka,입어볼 수 있나요?,쇼핑
別の色ありますか？,betsu no iro arimasu ka,다른 색 있나요?,쇼핑
もう少し安くなりますか？,mou sukoshi yasuku narimasu ka,조금 더 싸게 안 될까요?,쇼핑
サイズはありますか？,saizu wa arimasu ka,사이즈 있나요?,쇼핑
クレジットカード使えますか？,kurejitto kaado tsukaemasu ka,신용카드 사용할 수 있나요?,쇼핑
