jp,kana,mean,JLPT Level
ああ,ああ,"아!, 오!",N5
会う,あう,"만나다, 보다",N5
青,あお,파랑,N5
青い,あおい,파랑,N5
赤,あか,빨강,N5
赤い,あかい,빨강,N5
明るい,あかるい,"밝은, 쾌활한",N5
秋,あき,가을,N5
開く,あく,열리다,N5
開ける,あける,열다,N5
上げる,あげる,"들다, 올리다",N5
朝,あさ,아침,N5
朝御飯,あさごはん,아침식사,N5
明後日,あさって,모레,N5
足; 脚,あし,"발, 다리",N5
明日,あした,내일,N5
あそこ,あそこ,"저기, 그곳",N5
遊ぶ,あそぶ,"놀다, 즐겁게 보내다",N5
暖かい,あたたかい,따뜻한,N5
頭,あたま,머리,N5
新しい,あたらしい,새로운,N5
あちら,あちら,이쪽 (공손),N5
暑い,あつい,덥다 (날씨),N5
熱い,あつい,뜨겁다 (물건),N5
厚い,あつい,"친절한, 따뜻한, 깊은",N5
あっち,あっち,저쪽,N5
後,あと,"나중에, 이후에, 그때 이후로",N5
あなた,あなた,너,N5
兄,あに,"형, 오빠",N5
姉,あね,"누나, 언니",N5
アパート,アパート,아파트,N5
あの,あの,"저것, 저렇게, 음…",N5
浴びる,あびる,"목욕하다, 샤워하다",N5
危ない,あぶない,위험한,N5
甘い,あまい,"관대한, 다정한",N5
余り,あまり,"별로, 여분",N5
雨,あめ,비,N5
飴,あめ,사탕,N5
洗う,あらう,씻다,N5
在る,ある,있다,N5
有る,ある,있다,N5
歩く,あるく,걷다,N5
あれ,あれ,저것,N5
いい; よい,いい; よい,좋은,N5
いいえ,いいえ,"아니요, 전혀",N5
言う,いう,말하다,N5
家,いえ,"집, 가정",N5
いかが,いかが,어떻게,N5
行く,いく; ゆく,가다,N5
いくつ,いくつ,"몇 개, 몇 살",N5
いくら,いくら,"얼마나, 몇",N5
池,いけ,연못,N5
医者,いしゃ,의사,N5
椅子,いす,의자,N5
忙しい,いそがしい,바쁜,N5
痛い,いたい,"아픈, 아프다",N5
一,いち,하나,N5
一日,いちにち,하루,N5
一番,いちばん,"제일, 첫째",N5
いつ,いつ,언제,N5
五日,いつか,"5일, 5일째",N5
一緒,いっしょ,"같이, 함께",N5
五つ,いつつ,5개,N5
いつも,いつも,"항상, 보통, 매번",N5
犬,いぬ,개,N5
今,いま,지금,N5
意味,いみ,의미,N5
妹,いもうと,여동생,N5
嫌,いや,"싫은, 불쾌한",N5
入口,いりぐち,입구,N5
居る,いる,존재하다 (겸양),N5
要る,いる,필요하다,N5
入れる,いれる,넣다,N5
色,いろ,색깔,N5
色々,いろいろ,여러 가지,N5
上,うえ,"위, 위쪽",N5
後ろ,うしろ,"뒤, 뒤쪽",N5
薄い,うすい,"얇은, 약한",N5
歌,うた,노래,N5
歌う,うたう,노래하다,N5
うち,うち,"집, 우리 집",N5
生まれる,うまれる,태어나다,N5
海,うみ,바다,N5
売る,うる,팔다,N5
うるさい,うるさい,"시끄럽다, 성가시다",N5
上着,うわぎ,"코트, 자켓",N5
絵,え,"그림, 그림 그리기",N5
映画,えいが,영화,N5
映画館,えいがかん,영화관,N5
英語,えいご,영어,N5
ええ,ええ,"네, 예",N5
駅,えき,역,N5
エレベーター,エレベーター,엘리베이터,N5
～円,～えん,엔,N5
鉛筆,えんぴつ,연필,N5
お～,お～,~님 (존칭),N5
美味しい,おいしい,맛있다,N5
多い,おおい,많은,N5
大きい,おおきい,크다,N5
大きな,おおきな,크다,N5
大勢,おおぜい,많은 사람들,N5
お母さん,おかあさん,어머니 (공손),N5
お菓子,おかし,"과자, 간식",N5
お金,おかね,돈,N5
起きる,おきる,"일어나다, 발생하다",N5
置く,おく,"놓다, 두다",N5
奥さん,おくさん,"아내 (남의, 존칭)",N5
お酒,おさけ,술,N5
お皿,おさら,접시,N5
伯父; 叔父さん,おじさん,아저씨,N5
おじいさん,おじいさん,할아버지,N5
教える,おしえる,가르치다,N5
押す,おす,"누르다, 밀다",N5
遅い,おそい,"느리다, 늦다",N5
お茶,おちゃ,녹차,N5
お手洗い,おてあらい,화장실,N5
お父さん,おとうさん,아버지 (공손),N5
弟,おとうと,남동생,N5
男,おとこ,남자,N5
男の子,おとこのこ,소년,N5
一昨日,おととい,그저께,N5
おととし,おととし,재작년,N5
大人,おとな,어른,N5
お腹,おなか,배,N5
同じ,おなじ,"같은, 동일한",N5
お兄さん,おにいさん,형 (남의 형),N5
お姉さん,おねえさん,언니 (남의 언니),N5
伯母さん; 叔母さん,おばさん,"이모, 아주머니",N5
おばあさん,おばあさん,할머니,N5
お風呂,おふろ,목욕,N5
お弁当,おべんとう,도시락,N5
覚える,おぼえる,"외우다, 배우다",N5
おまわりさん,おまわりさん,경찰관,N5
重い,おもい,"무겁다, 심각하다",N5
面白い,おもしろい,재미있다,N5
泳ぐ,およぐ,수영하다,N5
降りる,おりる,내리다,N5
終る,おわる,"끝나다, 닫다",N5
音楽,おんがく,음악,N5
女,おんな,"여자, 여성",N5
女の子,おんなのこ,소녀,N5
～回,～かい,"회수, 횟수 (~번)",N5
～階,～かい,층 (건물의),N5
外国,がいこく,외국,N5
外国人,がいこくじん,외국인,N5
会社,かいしゃ,"회사, 기업",N5
階段,かいだん,계단,N5
買い物,かいもの,쇼핑,N5
買う,かう,사다,N5
返す,かえす,"돌려주다, 반환하다",N5
帰る,かえる,"돌아가다, 귀가하다",N5
顔,かお,얼굴,N5
かかる,かかる,"(시간, 돈이) 걸리다",N5
鍵,かぎ,열쇠,N5
書く,かく,"쓰다, 적다",N5
学生,がくせい,학생,N5
～か月,～かげつ,개월 수,N5
掛ける,かける,"(안경을) 쓰다, (벽에) 걸다",N5
かける,かける,"전화 걸다, 앉다",N5
傘,かさ,"우산, 양산",N5
貸す,かす,빌려주다,N5
風,かぜ,바람,N5
風邪,かぜ,감기,N5
方,かた,(사람의) 존칭형,N5
家族,かぞく,"가족, 가족 구성원",N5
片仮名,かたかな,가타카나,N5
～月,～がつ,월 (달),N5
学校,がっこう,학교,N5
カップ,カップ,컵,N5
家庭,かてい,"집, 가족",N5
角,かど,"모퉁이, 코너",N5
かばん,かばん,"가방, 바구니",N5
花瓶,かびん,꽃병,N5
かぶる,かぶる,"(모자 등을) 쓰다, 착용하다",N5
紙,かみ,종이,N5
カメラ,カメラ,카메라,N5
火曜日,かようび,화요일,N5
辛い,からい,"매운, 짠",N5
体,からだ,"몸, 건강",N5
借りる,かりる,"빌리다, 빚지다",N5
～がる,～がる,"기분, 느낌",N5
軽い,かるい,"가볍다, 경미하다",N5
カレー,カレー,카레,N5
カレンダー,カレンダー,달력,N5
川; 河,かわ,"강, 하천",N5
～側,～がわ,"~쪽, ~편",N5
可愛い,かわいい,"귀엽다, 사랑스럽다",N5
漢字,かんじ,한자,N5
木,き,"나무, 목재",N5
黄色,きいろ,노랑,N5
黄色い,きいろい,노란색,N5
消える,きえる,"사라지다, 없어지다",N5
聞く,きく,"듣다, 묻다",N5
北,きた,북쪽,N5
ギター,ギター,기타,N5
汚い,きたない,더럽다,N5
喫茶店,きっさてん,카페,N5
切手,きって,우표,N5
切符,きっぷ,"티켓, 표",N5
昨日,きのう,어제,N5
九,きゅう,아홉,N5
牛肉,ぎゅうにく,소고기,N5
牛乳,ぎゅうにゅう,우유,N5
今日,きょう,오늘,N5
